"country","province","date","actual_cases","predict_cases","predict_cases_1","predict_cases_2","predict_cases_3","predict_cases_4","predict_cases_5","predict_cases_6"
"Taiwan",NA,2020-02-01,10,10.88,11.73,12.55,13.36,14.14,14.91,15.65
"Taiwan",NA,2020-02-02,10,10,10,10,10,10,10,10
"Taiwan",NA,2020-02-03,10,10,10,10,10,10,10,10
"Taiwan",NA,2020-02-04,11,10,10,10,10,10,10,10
"Taiwan",NA,2020-02-05,11,11.63,12.25,12.85,13.45,14.03,14.6,15.16
"Taiwan",NA,2020-02-06,16,11,11,11,11,11,11,11
"Taiwan",NA,2020-02-07,16,19.2,22.39,25.57,28.74,31.9,35.04,38.17
"Taiwan",NA,2020-02-08,17,16,16,16,16,16,16,16
"Taiwan",NA,2020-02-09,18,17.63,18.25,18.85,19.45,20.03,20.6,21.16
"Taiwan",NA,2020-02-10,18,18.63,19.25,19.85,20.45,21.03,21.6,22.16
"Taiwan",NA,2020-02-11,18,18,18,18,18,18,18,18
"Taiwan",NA,2020-02-12,18,18,18,18,18,18,18,18
"Taiwan",NA,2020-02-13,18,18,18,18,18,18,18,18
"Taiwan",NA,2020-02-14,18,18,18,18,18,18,18,18
"Taiwan",NA,2020-02-15,18,18,18,18,18,18,18,18
"Taiwan",NA,2020-02-16,20,18,18,18,18,18,18,18
"Taiwan",NA,2020-02-17,22,21.27,22.54,23.79,25.02,26.25,27.47,28.67
"Taiwan",NA,2020-02-18,22,23.27,24.54,25.79,27.02,28.25,29.47,30.67
"Taiwan",NA,2020-02-19,23,22,22,22,22,22,22,22
"Taiwan",NA,2020-02-20,24,23.63,24.25,24.85,25.45,26.03,26.6,27.16
"Taiwan",NA,2020-02-21,26,24.63,25.25,25.85,26.45,27.03,27.6,28.16
"Taiwan",NA,2020-02-22,26,27.27,28.54,29.79,31.02,32.25,33.47,34.67
"Taiwan",NA,2020-02-23,28,26,26,26,26,26,26,26
"Taiwan",NA,2020-02-24,30,29.27,30.54,31.79,33.02,34.25,35.47,36.67
"Taiwan",NA,2020-02-25,31,31.27,32.54,33.79,35.02,36.25,37.47,38.67
"Taiwan",NA,2020-02-26,32,31.39,31.63,31.77,31.86,31.92,31.95,31.97
"Taiwan",NA,2020-02-27,32,32.63,33.25,33.85,34.45,35.03,35.6,36.16
"Taiwan",NA,2020-02-28,34,32,32,32,32,32,32,32
"Taiwan",NA,2020-02-29,39,35.27,36.54,37.79,39.02,40.25,41.47,42.67
"Taiwan",NA,2020-03-01,40,42.2,45.39,48.57,51.74,54.9,58.04,61.17
"Taiwan",NA,2020-03-02,41,40.18,40.23,40.24,40.25,40.25,40.25,40.25
"Taiwan",NA,2020-03-03,42,41.63,42.25,42.85,43.45,44.03,44.6,45.16
"Taiwan",NA,2020-03-04,42,42.63,43.25,43.85,44.45,45.03,45.6,46.16
"Taiwan",NA,2020-03-05,44,42,42,42,42,42,42,42
"Taiwan",NA,2020-03-06,45,45.27,46.54,47.79,49.02,50.25,51.47,52.67
"Taiwan",NA,2020-03-07,45,45.39,45.63,45.77,45.86,45.92,45.95,45.97
"Taiwan",NA,2020-03-08,45,45,45,45,45,45,45,45
"Taiwan",NA,2020-03-09,45,45,45,45,45,45,45,45
"Taiwan",NA,2020-03-10,47,45,45,45,45,45,45,45
"Taiwan",NA,2020-03-11,48,48.27,49.54,50.79,52.02,53.25,54.47,55.67
"Taiwan",NA,2020-03-12,49,48.39,48.63,48.77,48.86,48.92,48.95,48.97
"Taiwan",NA,2020-03-13,50,49.63,50.25,50.85,51.45,52.03,52.6,53.16
"Taiwan",NA,2020-03-14,53,50.63,51.25,51.85,52.45,53.03,53.6,54.16
"Taiwan",NA,2020-03-15,59,54.92,56.82,58.71,60.6,62.47,64.33,66.17
"Taiwan",NA,2020-03-16,67,62.85,66.68,70.5,74.31,78.11,81.9,85.68
"Taiwan",NA,2020-03-17,77,72.13,77.25,82.36,87.46,92.54,97.61,102.68
"Taiwan",NA,2020-03-18,100,83.42,89.82,96.22,102.6,108.97,115.33,121.68
"Taiwan",NA,2020-03-19,108,114.77,129.54,144.29,159.03,173.76,188.47,203.18
"Taiwan",NA,2020-03-20,135,110.33,111.39,111.87,112.09,112.18,112.23,112.25
"Taiwan",NA,2020-03-21,153,152.35,169.68,187,204.31,221.61,238.9,256.18
"taiwan*",NA,2020-03-22,169,161.76,168.38,173.4,177.19,180.07,182.24,183.88
"taiwan*",NA,2020-03-23,169,178.52,187.33,195.49,203.04,210.03,216.5,222.49
